Customer_ID,Gender,Age_Group,Customer_Segment,Loyalty_Member,City
225,Female,26-35,Regular,No,Kochi
226,Female,46-60,Budget,No,Surat
227,Female,26-35,Regular,No,Indore
228,Female,60+,Premium,Yes,Bengaluru
229,Male,36-45,Budget,No,Delhi
230,Female,18-25,Premium,No,Hyderabad
231,Male,36-45,Regular,No,Pune
232,Female,26-35,Budget,No,Kochi
233,Female,26-35,Budget,Yes,Lucknow
234,Male,18-25,Regular,No,Kochi
235,Female,46-60,Budget,No,Surat
236,Female,46-60,Budget,Yes,Chandigarh
237,Female,46-60,Premium,No,Lucknow
238,Female,36-45,Premium,Yes,Delhi
239,Female,18-25,Budget,No,Delhi
240,Female,36-45,Budget,Yes,Bengaluru
241,Male,36-45,Budget,No,Surat
242,Female,36-45,Premium,Yes,Surat
243,Male,26-35,Regular,No,Chennai
244,Female,18-25,Business,Yes,Surat
245,Male,26-35,Premium,No,Pune
246,Male,18-25,Premium,No,Delhi
247,Female,46-60,Regular,No,Nagpur
248,Male,26-35,Premium,Yes,Bengaluru
249,Male,18-25,Regular,No,Delhi
250,Male,26-35,Budget,No,Nagpur
251,Female,18-25,Budget,No,Nagpur
252,Female,26-35,Budget,No,Bhubaneswar
253,Female,36-45,Budget,Yes,Chennai
254,Male,60+,Budget,Yes,Chennai
255,Female,26-35,Regular,Yes,Lucknow
256,Female,36-45,Budget,No,Chennai
257,Female,26-35,Budget,No,Bengaluru
258,Male,18-25,Budget,No,Delhi
259,Female,36-45,Budget,Yes,Delhi
260,Male,60+,Budget,Yes,Chennai
261,Male,46-60,Premium,No,Bhubaneswar
262,Female,36-45,Regular,Yes,Nagpur
263,Male,18-25,Premium,No,Kochi
264,Female,18-25,Regular,No,Nagpur
265,Female,26-35,Regular,No,Nagpur
266,Female,26-35,Budget,Yes,Delhi
267,Male,26-35,Budget,Yes,Bengaluru
268,Female,36-45,Premium,No,Ahmedabad
269,Female,36-45,Premium,No,Mumbai
270,Female,26-35,Regular,No,Hyderabad
271,Female,46-60,Budget,No,Pune
272,Male,18-25,Regular,Yes,Ahmedabad
273,Female,18-25,Budget,No,Chandigarh
274,Female,18-25,Regular,No,Indore
275,Female,26-35,Budget,Yes,Ahmedabad
276,Male,46-60,Regular,Yes,Chandigarh
277,Male,36-45,Premium,No,Nagpur
278,Female,18-25,Regular,Yes,Jaipur
279,Female,46-60,Premium,Yes,Chandigarh
280,Female,60+,Regular,No,Nagpur
281,Female,46-60,Budget,No,Indore
282,Male,18-25,Budget,Yes,Surat
283,Female,46-60,Premium,Yes,Lucknow
284,Female,36-45,Regular,No,Hyderabad
285,Male,26-35,Regular,No,Ahmedabad
286,Female,46-60,Regular,No,Hyderabad
287,Male,18-25,Budget,No,Bengaluru
288,Female,36-45,Regular,Yes,Mumbai
289,Female,46-60,Budget,No,Bengaluru
290,Female,36-45,Premium,No,Nagpur
291,Female,26-35,Regular,No,Jaipur
292,Female,46-60,Budget,No,Hyderabad
293,Female,18-25,Regular,Yes,Hyderabad
294,Male,36-45,Regular,No,Delhi
295,Female,26-35,Budget,No,Kochi
296,Male,26-35,Regular,No,Mumbai
297,Female,36-45,Regular,No,Kochi
298,Female,26-35,Budget,No,Nagpur
299,Female,26-35,Regular,No,Nagpur
300,Female,36-45,Budget,Yes,Bhubaneswar
301,Male,36-45,Budget,No,Indore
302,Male,26-35,Business,No,Chandigarh
303,Female,26-35,Budget,Yes,Mumbai
304,Male,36-45,Budget,No,Indore
305,Male,36-45,Budget,No,Indore
306,Male,26-35,Premium,Yes,Pune
307,Male,60+,Regular,Yes,Bhubaneswar
308,Female,36-45,Business,Yes,Indore
309,Female,36-45,Premium,Yes,Ahmedabad
310,Female,18-25,Budget,No,Bengaluru
311,Male,26-35,Premium,Yes,Chennai
312,Male,26-35,Budget,No,Jaipur
313,Female,18-25,Regular,Yes,Kochi
314,Female,60+,Premium,Yes,Nagpur
315,Female,60+,Business,Yes,Chandigarh
316,Female,26-35,Regular,No,Ahmedabad
317,Female,26-35,Premium,Yes,Chennai
318,Male,26-35,Regular,No,Chandigarh
319,Male,36-45,Regular,Yes,Chandigarh
320,Male,36-45,Budget,Yes,Surat
321,Male,18-25,Budget,Yes,Pune
322,Male,60+,Budget,No,Indore
323,Male,46-60,Budget,No,Chandigarh
324,Male,46-60,Regular,No,Bengaluru
325,Male,36-45,Budget,Yes,Kochi
326,Female,26-35,Business,No,Nagpur
327,Female,26-35,Budget,No,Bhubaneswar
328,Male,26-35,Budget,No,Delhi
329,Female,18-25,Business,Yes,Jaipur
330,Female,26-35,Budget,No,Jaipur
331,Female,18-25,Budget,Yes,Chandigarh
332,Female,18-25,Budget,No,Mumbai
333,Male,36-45,Budget,No,Jaipur
334,Female,36-45,Budget,Yes,Chennai
335,Female,26-35,Regular,No,Lucknow
336,Male,26-35,Regular,No,Surat
337,Female,18-25,Regular,No,Delhi
338,Female,26-35,Business,Yes,Lucknow
339,Female,26-35,Business,No,Chandigarh
340,Female,36-45,Budget,No,Pune
341,Male,26-35,Regular,No,Bengaluru
342,Female,26-35,Premium,No,Ahmedabad
343,Male,18-25,Regular,No,Nagpur
344,Female,26-35,Regular,No,Delhi
345,Female,60+,Regular,Yes,Bhubaneswar
346,Male,26-35,Budget,Yes,Delhi
347,Female,46-60,Premium,No,Hyderabad
348,Male,46-60,Premium,Yes,Surat
349,Male,26-35,Regular,No,Delhi
350,Male,18-25,Regular,Yes,Nagpur
351,Male,26-35,Budget,Yes,Chandigarh
352,Male,18-25,Premium,Yes,Bengaluru
353,Male,26-35,Premium,Yes,Indore
354,Female,26-35,Premium,No,Bhubaneswar
355,Male,36-45,Regular,Yes,Chandigarh
356,Female,18-25,Budget,Yes,Indore
357,Male,26-35,Budget,Yes,Ahmedabad
358,Female,46-60,Regular,Yes,Nagpur
359,Male,18-25,Premium,Yes,Delhi
360,Female,26-35,Regular,No,Mumbai
361,Male,26-35,Premium,No,Bhubaneswar
362,Male,46-60,Budget,No,Chandigarh
363,Female,36-45,Regular,No,Indore
364,Female,26-35,Regular,No,Mumbai
365,Male,36-45,Budget,Yes,Lucknow
366,Male,26-35,Premium,No,Surat
367,Male,18-25,Regular,Yes,Chandigarh
368,Female,26-35,Regular,No,Bengaluru
369,Female,26-35,Regular,Yes,Bengaluru
370,Female,18-25,Budget,No,Ahmedabad
371,Male,46-60,Budget,No,Kochi
372,Male,36-45,Regular,Yes,Jaipur
373,Female,26-35,Regular,Yes,Indore
374,Female,46-60,Budget,Yes,Mumbai
375,Female,18-25,Premium,Yes,Ahmedabad
376,Female,18-25,Budget,No,Ahmedabad
377,Female,60+,Budget,No,Pune
378,Male,26-35,Budget,Yes,Hyderabad
379,Male,36-45,Premium,No,Mumbai
380,Male,36-45,Premium,No,Hyderabad
381,Female,46-60,Premium,Yes,Lucknow
382,Female,18-25,Regular,No,Hyderabad
383,Female,26-35,Regular,Yes,Ahmedabad
384,Male,46-60,Premium,No,Hyderabad
385,Male,60+,Budget,No,Nagpur
386,Female,26-35,Premium,Yes,Kochi
387,Female,26-35,Regular,Yes,Bhubaneswar
388,Female,46-60,Premium,No,Lucknow
389,Male,18-25,Regular,Yes,Bengaluru
390,Male,60+,Budget,No,Chandigarh
391,Female,18-25,Premium,No,Jaipur
392,Male,46-60,Regular,No,Surat
393,Male,26-35,Regular,No,Mumbai
394,Male,46-60,Budget,No,Bhubaneswar
395,Male,26-35,Regular,Yes,Mumbai
396,Male,26-35,Regular,No,Nagpur
397,Male,36-45,Regular,Yes,Jaipur
398,Male,18-25,Budget,No,Kochi
399,Female,36-45,Budget,Yes,Pune
400,Male,36-45,Regular,No,Bhubaneswar
401,Female,26-35,Budget,Yes,Bhubaneswar
402,Female,26-35,Budget,Yes,Ahmedabad
403,Female,26-35,Regular,Yes,Lucknow
404,Male,18-25,Premium,No,Pune
405,Male,26-35,Regular,Yes,Nagpur
406,Male,26-35,Budget,Yes,Mumbai
407,Male,26-35,Budget,No,Surat
408,Female,26-35,Regular,Yes,Chandigarh
409,Male,18-25,Regular,Yes,Kochi
410,Female,26-35,Budget,No,Bhubaneswar
411,Female,36-45,Regular,No,Pune
412,Female,26-35,Regular,No,Kochi
413,Female,26-35,Premium,Yes,Bengaluru
414,Male,18-25,Business,No,Pune
415,Male,36-45,Regular,Yes,Chennai
416,Male,18-25,Budget,Yes,Chennai
417,Male,26-35,Budget,Yes,Mumbai
418,Male,36-45,Budget,No,Pune
419,Male,26-35,Budget,Yes,Pune
420,Female,36-45,Business,Yes,Mumbai
421,Female,36-45,Business,Yes,Jaipur
422,Male,46-60,Regular,Yes,Chennai
423,Male,36-45,Business,Yes,Kochi
424,Male,26-35,Budget,No,Nagpur
425,Female,18-25,Regular,Yes,Ahmedabad
426,Male,46-60,Regular,Yes,Delhi
427,Female,36-45,Budget,Yes,Bhubaneswar
428,Female,26-35,Business,Yes,Mumbai
429,Female,26-35,Regular,Yes,Indore
430,Female,18-25,Premium,Yes,Kochi
431,Male,26-35,Regular,No,Pune
432,Female,26-35,Regular,No,Nagpur
433,Female,18-25,Regular,No,Bhubaneswar
434,Female,26-35,Regular,Yes,Indore
435,Female,18-25,Regular,Yes,Surat
436,Male,36-45,Regular,Yes,Ahmedabad
437,Male,18-25,Regular,No,Kochi
438,Female,46-60,Budget,No,Ahmedabad
439,Male,18-25,Regular,No,Chennai
440,Female,18-25,Budget,Yes,Delhi
441,Female,46-60,Premium,Yes,Chandigarh
442,Female,26-35,Budget,Yes,Chandigarh
443,Female,36-45,Regular,Yes,Mumbai
444,Male,26-35,Budget,No,Surat
445,Male,36-45,Regular,No,Kochi
446,Male,26-35,Budget,No,Bengaluru
447,Female,18-25,Budget,Yes,Delhi
448,Male,36-45,Regular,No,Chennai
449,Male,26-35,Premium,No,Bengaluru
450,Female,26-35,Budget,No,Surat
451,Female,46-60,Regular,Yes,Kochi
452,Female,26-35,Budget,Yes,Delhi
453,Male,26-35,Business,Yes,Nagpur
454,Male,26-35,Budget,No,Surat
455,Male,26-35,Budget,No,Nagpur
456,Female,46-60,Regular,Yes,Chennai
457,Male,36-45,Regular,No,Indore
458,Male,46-60,Regular,Yes,Delhi
459,Male,18-25,Regular,Yes,Bengaluru
460,Male,18-25,Regular,No,Mumbai
461,Male,18-25,Regular,Yes,Bhubaneswar
462,Female,18-25,Regular,No,Bhubaneswar
463,Male,36-45,Budget,Yes,Chennai
464,Male,18-25,Budget,No,Bhubaneswar
465,Female,46-60,Budget,Yes,Pune
466,Male,26-35,Regular,No,Pune
467,Male,26-35,Budget,No,Mumbai
468,Male,60+,Budget,Yes,Kochi
469,Female,26-35,Business,No,Mumbai
470,Male,18-25,Budget,No,Indore
471,Male,26-35,Business,Yes,Pune
472,Male,26-35,Business,Yes,Bhubaneswar
473,Male,18-25,Premium,No,Jaipur
474,Female,36-45,Budget,Yes,Jaipur
475,Female,60+,Regular,No,Surat
476,Female,46-60,Budget,Yes,Ahmedabad
477,Female,36-45,Budget,No,Pune
478,Male,18-25,Regular,No,Ahmedabad
479,Male,36-45,Regular,No,Ahmedabad
480,Male,26-35,Business,Yes,Nagpur
481,Male,46-60,Premium,Yes,Indore
482,Female,36-45,Regular,No,Kochi
483,Female,36-45,Regular,Yes,Bhubaneswar
484,Male,36-45,Business,No,Ahmedabad
485,Male,36-45,Budget,No,Mumbai
486,Male,26-35,Budget,No,Bengaluru
487,Female,18-25,Business,Yes,Delhi
488,Female,46-60,Regular,No,Indore
489,Female,26-35,Budget,No,Hyderabad
490,Male,60+,Premium,No,Bhubaneswar
491,Female,46-60,Business,Yes,Nagpur
492,Female,46-60,Regular,Yes,Jaipur
493,Female,26-35,Regular,Yes,Bengaluru
494,Female,26-35,Regular,No,Mumbai
495,Female,26-35,Budget,Yes,Surat
496,Female,26-35,Regular,Yes,Ahmedabad
497,Female,26-35,Regular,Yes,Delhi
498,Female,26-35,Regular,No,Kochi
499,Female,18-25,Budget,Yes,Ahmedabad
500,Male,46-60,Budget,No,Hyderabad
501,Male,18-25,Premium,Yes,Mumbai
502,Female,36-45,Budget,No,Pune
503,Female,36-45,Regular,Yes,Nagpur
504,Male,46-60,Regular,Yes,Pune
505,Female,26-35,Regular,Yes,Mumbai
506,Female,26-35,Regular,Yes,Bhubaneswar
507,Male,46-60,Budget,No,Ahmedabad
508,Female,60+,Budget,Yes,Lucknow
509,Male,36-45,Premium,No,Ahmedabad
510,Male,36-45,Budget,Yes,Indore
511,Male,36-45,Regular,Yes,Lucknow
512,Female,26-35,Regular,Yes,Chennai
513,Male,46-60,Budget,No,Ahmedabad
514,Female,26-35,Regular,No,Chandigarh
515,Female,46-60,Regular,No,Surat
516,Female,26-35,Regular,No,Kochi
517,Female,46-60,Budget,No,Hyderabad
518,Male,36-45,Budget,No,Ahmedabad
519,Male,26-35,Regular,No,Surat
520,Male,18-25,Budget,Yes,Indore
521,Female,36-45,Premium,Yes,Hyderabad
522,Male,18-25,Regular,No,Ahmedabad
523,Female,36-45,Budget,No,Bengaluru
524,Female,46-60,Regular,Yes,Bengaluru
525,Female,46-60,Premium,Yes,Delhi
526,Male,26-35,Business,No,Nagpur
527,Male,36-45,Regular,Yes,Surat
528,Female,26-35,Business,No,Lucknow
529,Female,26-35,Budget,Yes,Mumbai
530,Male,46-60,Regular,No,Indore
531,Female,26-35,Budget,Yes,Hyderabad
532,Female,36-45,Premium,Yes,Chennai
533,Male,60+,Budget,Yes,Mumbai
534,Female,36-45,Premium,Yes,Nagpur
535,Male,46-60,Budget,No,Surat
536,Male,26-35,Premium,Yes,Chandigarh
537,Female,46-60,Budget,No,Ahmedabad
538,Female,26-35,Budget,No,Chandigarh
539,Female,26-35,Business,No,Nagpur
540,Male,46-60,Premium,Yes,Nagpur
541,Female,46-60,Business,No,Bengaluru
542,Female,26-35,Premium,No,Chennai
543,Female,46-60,Business,Yes,Ahmedabad
544,Female,26-35,Budget,Yes,Surat
545,Female,26-35,Regular,No,Pune
546,Male,36-45,Premium,No,Delhi
547,Male,36-45,Regular,Yes,Bhubaneswar
548,Male,26-35,Regular,Yes,Pune
549,Female,46-60,Premium,No,Bhubaneswar
550,Male,26-35,Regular,No,Pune
551,Female,18-25,Regular,Yes,Chandigarh
552,Female,46-60,Regular,Yes,Ahmedabad
553,Male,46-60,Regular,Yes,Nagpur
554,Male,60+,Regular,Yes,Chandigarh
555,Male,26-35,Budget,No,Hyderabad
556,Female,18-25,Regular,Yes,Ahmedabad
557,Female,46-60,Budget,No,Indore
558,Male,26-35,Regular,No,Nagpur
559,Female,26-35,Budget,No,Hyderabad
560,Male,36-45,Regular,Yes,Jaipur
561,Female,18-25,Budget,No,Surat
562,Female,26-35,Budget,Yes,Bhubaneswar
563,Female,18-25,Business,Yes,Jaipur
564,Female,36-45,Budget,Yes,Jaipur
565,Female,18-25,Regular,Yes,Kochi
566,Male,26-35,Budget,Yes,Lucknow
567,Male,18-25,Business,No,Pune
568,Female,36-45,Regular,Yes,Lucknow
569,Male,26-35,Business,No,Bengaluru
570,Female,18-25,Regular,Yes,Lucknow
571,Female,18-25,Regular,Yes,Pune
572,Female,36-45,Business,No,Delhi
573,Female,36-45,Regular,No,Nagpur
574,Female,46-60,Business,No,Bhubaneswar
575,Male,36-45,Regular,No,Pune
576,Male,18-25,Regular,No,Nagpur
577,Female,18-25,Budget,Yes,Delhi
578,Female,18-25,Regular,No,Jaipur
579,Female,26-35,Business,No,Pune
580,Female,18-25,Regular,Yes,Surat
581,Female,36-45,Budget,No,Surat
582,Male,26-35,Regular,No,Chandigarh
583,Male,36-45,Budget,No,Indore
584,Female,36-45,Budget,Yes,Chandigarh
585,Male,46-60,Budget,Yes,Chandigarh
586,Female,26-35,Budget,No,Bengaluru
587,Male,36-45,Regular,Yes,Chennai
588,Male,26-35,Budget,No,Jaipur
589,Male,36-45,Premium,Yes,Delhi
590,Female,26-35,Business,Yes,Lucknow
591,Male,18-25,Business,No,Hyderabad
592,Female,36-45,Budget,No,Hyderabad
593,Female,36-45,Budget,Yes,Chandigarh
594,Male,26-35,Budget,No,Nagpur
595,Female,26-35,Premium,No,Mumbai
596,Female,18-25,Regular,No,Ahmedabad
597,Female,36-45,Premium,No,Ahmedabad
598,Female,36-45,Budget,Yes,Mumbai
599,Female,26-35,Regular,Yes,Chandigarh
600,Female,18-25,Regular,Yes,Chandigarh
601,Male,36-45,Regular,Yes,Bhubaneswar
602,Female,36-45,Premium,No,Chennai
603,Male,26-35,Budget,Yes,Lucknow
604,Female,26-35,Budget,No,Ahmedabad
605,Male,36-45,Budget,No,Indore
606,Female,18-25,Budget,Yes,Jaipur
607,Female,36-45,Premium,Yes,Ahmedabad
608,Male,26-35,Regular,Yes,Jaipur
609,Male,26-35,Regular,No,Mumbai
610,Male,36-45,Budget,Yes,Delhi
611,Female,26-35,Regular,No,Jaipur
612,Female,46-60,Business,Yes,Surat
613,Male,46-60,Budget,Yes,Mumbai
614,Male,26-35,Business,No,Kochi
615,Male,18-25,Regular,Yes,Bengaluru
616,Male,18-25,Regular,No,Bhubaneswar
617,Female,26-35,Budget,No,Nagpur
618,Female,36-45,Regular,Yes,Surat
619,Male,36-45,Regular,Yes,Surat
620,Female,36-45,Regular,Yes,Kochi
621,Male,26-35,Regular,No,Indore
622,Female,26-35,Regular,No,Jaipur
623,Female,36-45,Regular,Yes,Delhi
624,Female,18-25,Premium,Yes,Chennai
625,Female,18-25,Business,Yes,Indore
626,Female,26-35,Regular,No,Chennai
627,Female,18-25,Regular,No,Hyderabad
628,Female,46-60,Regular,Yes,Chennai
629,Female,46-60,Regular,Yes,Chandigarh
630,Male,36-45,Budget,Yes,Surat
631,Female,18-25,Budget,Yes,Bengaluru
632,Male,26-35,Business,No,Ahmedabad
633,Female,26-35,Business,Yes,Delhi
634,Male,46-60,Budget,No,Bengaluru
635,Male,36-45,Regular,No,Pune
636,Female,36-45,Budget,Yes,Jaipur
637,Male,46-60,Premium,Yes,Bhubaneswar
638,Male,46-60,Regular,No,Surat
